Time,Power
2022-12-08 16:05:58.150967952,163936
2022-12-08 16:05:58.253706437,160939
2022-12-08 16:05:58.356477726,157978
2022-12-08 16:05:58.459220174,155625
2022-12-08 16:05:58.562079872,150765
2022-12-08 16:05:58.663943474,129826
2022-12-08 16:05:58.766621837,140731
2022-12-08 16:05:58.869329624,152910
2022-12-08 16:05:58.972049795,158794
2022-12-08 16:05:59.074785385,166222
2022-12-08 16:05:59.177521893,162646
2022-12-08 16:05:59.280242552,157740
2022-12-08 16:05:59.383012423,155094
2022-12-08 16:05:59.485711071,150471
2022-12-08 16:05:59.588200590,135483
2022-12-08 16:05:59.690617275,143385
2022-12-08 16:05:59.793069265,155501
2022-12-08 16:05:59.895486640,162287
2022-12-08 16:05:59.997878784,161642
2022-12-08 16:06:00.099702891,161528
2022-12-08 16:06:00.201542907,156857
2022-12-08 16:06:00.303350406,153328
2022-12-08 16:06:00.405216666,149906
2022-12-08 16:06:00.507590745,134625
2022-12-08 16:06:00.610008357,145954
2022-12-08 16:06:00.712443212,156057
2022-12-08 16:06:00.814837237,164043
2022-12-08 16:06:00.917541946,163634
2022-12-08 16:06:01.019349900,160295
2022-12-08 16:06:01.121167043,157652
2022-12-08 16:06:01.222972740,153384
2022-12-08 16:06:01.325123706,148490
2022-12-08 16:06:01.427788594,135188
2022-12-08 16:06:01.530578513,141379
2022-12-08 16:06:01.633309038,153850
2022-12-08 16:06:01.740451168,166099
2022-12-08 16:06:01.844921790,161470
2022-12-08 16:06:01.946784405,155649
2022-12-08 16:06:02.048657305,150498
2022-12-08 16:06:02.151410160,146428
2022-12-08 16:06:02.253892216,135675
2022-12-08 16:06:02.356321976,144269
2022-12-08 16:06:02.458809617,156088
2022-12-08 16:06:02.561219807,165739
2022-12-08 16:06:02.663637407,165862
2022-12-08 16:06:02.765500872,161114
2022-12-08 16:06:02.867284548,157389
2022-12-08 16:06:02.969015976,151562
2022-12-08 16:06:03.070805119,148967
2022-12-08 16:06:03.173515806,137388
2022-12-08 16:06:03.276221835,149492
2022-12-08 16:06:03.378971887,154912
2022-12-08 16:06:03.481742106,165511
2022-12-08 16:06:03.584588561,167567
2022-12-08 16:06:03.687341138,157766
2022-12-08 16:06:03.790142859,153793
2022-12-08 16:06:03.892945661,152094
2022-12-08 16:06:03.995236204,150973
2022-12-08 16:06:04.098012430,140191
2022-12-08 16:06:04.200959121,151495
2022-12-08 16:06:04.303693039,156972
2022-12-08 16:06:04.406393417,165511
2022-12-08 16:06:04.509144256,165929
2022-12-08 16:06:04.611866371,160589
2022-12-08 16:06:04.714657784,157592
2022-12-08 16:06:04.817408839,154710
2022-12-08 16:06:04.919245886,151617
2022-12-08 16:06:05.021968054,141076
2022-12-08 16:06:05.124712968,152616
2022-12-08 16:06:05.227439202,157560
2022-12-08 16:06:05.330222927,164924
2022-12-08 16:06:05.433107824,163871
2022-12-08 16:06:05.535870730,158645
2022-12-08 16:06:05.638717379,159650
2022-12-08 16:06:05.741572551,154448
2022-12-08 16:06:05.844323828,149643
2022-12-08 16:06:05.950547602,152027
2022-12-08 16:06:06.053357875,156088
2022-12-08 16:06:06.157766529,165104
2022-12-08 16:06:06.260433790,163577
2022-12-08 16:06:06.363072096,160883
2022-12-08 16:06:06.465885940,159122
2022-12-08 16:06:06.568737488,152387
2022-12-08 16:06:06.671091534,139690
2022-12-08 16:06:06.773942313,141371
2022-12-08 16:06:06.876770876,152321
2022-12-08 16:06:06.979666218,157560
2022-12-08 16:06:07.082456339,165072
2022-12-08 16:06:07.185263593,162077
2022-12-08 16:06:07.288009120,159144
2022-12-08 16:06:07.390877008,158825
2022-12-08 16:06:07.493702636,154742
2022-12-08 16:06:07.595530600,137549
2022-12-08 16:06:07.697954439,143680
2022-12-08 16:06:07.800345842,155853
2022-12-08 16:06:07.902794132,161284
2022-12-08 16:06:08.005164904,162958
2022-12-08 16:06:08.106965689,160939
2022-12-08 16:06:08.208693028,157151
2022-12-08 16:06:08.310448130,155388
2022-12-08 16:06:08.412193874,151969
2022-12-08 16:06:08.514610731,134379
2022-12-08 16:06:08.617119391,144802
2022-12-08 16:06:08.719579845,155470
2022-12-08 16:06:08.822069297,158995
2022-12-08 16:06:08.924526161,165593
2022-12-08 16:06:09.026370453,163489
2022-12-08 16:06:09.128112851,160295
2022-12-08 16:06:09.229903076,157297
2022-12-08 16:06:09.332218024,154210
2022-12-08 16:06:09.434778393,140100
2022-12-08 16:06:09.537237422,145154
2022-12-08 16:06:09.639647560,155501
2022-12-08 16:06:09.742155849,164883
2022-12-08 16:06:09.844907763,166124
2022-12-08 16:06:09.946691403,162353
2022-12-08 16:06:10.048496258,157652
2022-12-08 16:06:10.150253728,153033
2022-12-08 16:06:10.252674180,149022
2022-12-08 16:06:10.355417920,137729
2022-12-08 16:06:10.458145886,149492
2022-12-08 16:06:10.567981365,166294
2022-12-08 16:06:10.671006403,167829
2022-12-08 16:06:10.773805976,157412
2022-12-08 16:06:10.876537640,154824
2022-12-08 16:06:10.979194569,152976
2022-12-08 16:06:11.081976021,148614
2022-12-08 16:06:11.184760925,136740
2022-12-08 16:06:11.287506712,147752
2022-12-08 16:06:11.390273516,152265
2022-12-08 16:06:11.492966915,164043
2022-12-08 16:06:11.595615508,164754
2022-12-08 16:06:11.698379129,160883
2022-12-08 16:06:11.801137569,155624
2022-12-08 16:06:11.903935413,151855
2022-12-08 16:06:12.006261512,148727
2022-12-08 16:06:12.108701046,137434
2022-12-08 16:06:12.211091303,147164
2022-12-08 16:06:12.313572453,154675
2022-12-08 16:06:12.415990701,164867
2022-12-08 16:06:12.518733866,165015
2022-12-08 16:06:12.620529585,160883
2022-12-08 16:06:12.722399248,157946
2022-12-08 16:06:12.824225757,153328
2022-12-08 16:06:12.926640715,148139
2022-12-08 16:06:13.029020761,139954
2022-12-08 16:06:13.131417120,152321
2022-12-08 16:06:13.233901363,157529
2022-12-08 16:06:13.336302601,165424
2022-12-08 16:06:13.438153307,165309
2022-12-08 16:06:13.539996857,160295
2022-12-08 16:06:13.641820426,159298
2022-12-08 16:06:13.743590024,148965
2022-12-08 16:06:13.850443714,141854
2022-12-08 16:06:13.953238935,141076
2022-12-08 16:06:14.055958322,151438
2022-12-08 16:06:14.158728044,156383
2022-12-08 16:06:14.261501404,166418
2022-12-08 16:06:14.364347104,164697
2022-12-08 16:06:14.467144576,160295
2022-12-08 16:06:14.570047712,157095
2022-12-08 16:06:14.676027451,134893
2022-12-08 16:06:14.778825686,143385
2022-12-08 16:06:14.881571870,155560
2022-12-08 16:06:14.984240469,161642
2022-12-08 16:06:15.086881091,165104
2022-12-08 16:06:15.189646725,162116
2022-12-08 16:06:15.292455591,156857
2022-12-08 16:06:15.395253399,156155
2022-12-08 16:06:15.498036964,150678
2022-12-08 16:06:15.599850357,132000
2022-12-08 16:06:15.702602567,141321
2022-12-08 16:06:15.805370078,153261
2022-12-08 16:06:15.908105603,159052
2022-12-08 16:06:16.010821486,167004
2022-12-08 16:06:16.113651313,162639
2022-12-08 16:06:16.216490622,157446
2022-12-08 16:06:16.319267170,155035
2022-12-08 16:06:16.421997847,150384
2022-12-08 16:06:16.523805445,132930
2022-12-08 16:06:16.626895939,143680
2022-12-08 16:06:16.729344299,156442
2022-12-08 16:06:16.831778885,160465
2022-12-08 16:06:16.934308957,164810
2022-12-08 16:06:17.036186038,164108
2022-12-08 16:06:17.137951827,160000
2022-12-08 16:06:17.239753803,155918
2022-12-08 16:06:17.341653381,150440
2022-12-08 16:06:17.444082780,134303
2022-12-08 16:06:17.546424703,141961
2022-12-08 16:06:17.648864095,153498
2022-12-08 16:06:17.751258450,163160
2022-12-08 16:06:17.853701812,163047
2022-12-08 16:06:17.955524112,160295
2022-12-08 16:06:18.057341647,156857
2022-12-08 16:06:18.159071949,153679
2022-12-08 16:06:18.261441640,149079
2022-12-08 16:06:18.363840000,137729
2022-12-08 16:06:18.466276679,147191
2022-12-08 16:06:18.568769112,156088
2022-12-08 16:06:18.671474699,166099
2022-12-08 16:06:18.773291733,166721
2022-12-08 16:06:18.875051786,158385
2022-12-08 16:06:18.976854344,155797
2022-12-08 16:06:19.078617259,153917
2022-12-08 16:06:19.180526103,150144
2022-12-08 16:06:19.282262966,138748
2022-12-08 16:06:19.384036870,152968
2022-12-08 16:06:19.490475770,165511
2022-12-08 16:06:19.595538109,164460
2022-12-08 16:06:19.697293813,161176
2022-12-08 16:06:19.799010210,155886
2022-12-08 16:06:19.900805950,151912
2022-12-08 16:06:20.002555164,149108
2022-12-08 16:06:20.104321225,140271
2022-12-08 16:06:20.206157370,149464
2022-12-08 16:06:20.307996324,153261
2022-12-08 16:06:20.409724606,161405
2022-12-08 16:06:20.511428443,162696
2022-12-08 16:06:20.613208256,159706
2022-12-08 16:06:20.714959666,161062
2022-12-08 16:06:20.816781976,152739
2022-12-08 16:06:20.918595137,147581
2022-12-08 16:06:21.020313234,139896
2022-12-08 16:06:21.122147662,152027
2022-12-08 16:06:21.223991883,157266
2022-12-08 16:06:21.325796932,165985
2022-12-08 16:06:21.427503229,163284
2022-12-08 16:06:21.529321916,160295
2022-12-08 16:06:21.631015609,161356
2022-12-08 16:06:21.732705893,153565
2022-12-08 16:06:21.834477121,142314
2022-12-08 16:06:21.936322802,142795
2022-12-08 16:06:22.038116993,154323
2022-12-08 16:06:22.139844501,157762
2022-12-08 16:06:22.241625519,165887
2022-12-08 16:06:22.343392787,164665
2022-12-08 16:06:22.445233518,160883
2022-12-08 16:06:22.547012732,156768
2022-12-08 16:06:22.648806502,150384
2022-12-08 16:06:22.750518842,134066
2022-12-08 16:06:22.852315618,146332
2022-12-08 16:06:22.954141964,155736
2022-12-08 16:06:23.055922730,158995
2022-12-08 16:06:23.157756346,165593
2022-12-08 16:06:23.259494044,162346
2022-12-08 16:06:23.361317760,157178
2022-12-08 16:06:23.463076691,154856
2022-12-08 16:06:23.564844543,150439
2022-12-08 16:06:23.666669796,135483
2022-12-08 16:06:23.768483674,142551
2022-12-08 16:06:23.870240896,153441
2022-12-08 16:06:23.971969316,161341
2022-12-08 16:06:24.073772273,161316
2022-12-08 16:06:24.175545988,161528
2022-12-08 16:06:24.277388209,156826
2022-12-08 16:06:24.379144945,153621
2022-12-08 16:06:24.480966286,150440
2022-12-08 16:06:24.582736752,138330
2022-12-08 16:06:24.684544675,145449
2022-12-08 16:06:24.786333727,155764
2022-12-08 16:06:24.888080891,164590
2022-12-08 16:06:24.989855330,167241
2022-12-08 16:06:25.091648268,158882
2022-12-08 16:06:25.193473364,156562
2022-12-08 16:06:25.295228523,152739
2022-12-08 16:06:25.397024060,150201
2022-12-08 16:06:25.498779829,137993
2022-12-08 16:06:25.600557559,149784
2022-12-08 16:06:25.702315374,154439
2022-12-08 16:06:25.804113143,163397
2022-12-08 16:06:25.909549871,159650
2022-12-08 16:06:26.011303376,155298
2022-12-08 16:06:26.113616254,134418
2022-12-08 16:06:26.215381836,97756
2022-12-08 16:06:26.317771226,83715
2022-12-08 16:06:26.420429916,78276
2022-12-08 16:06:26.522935831,76260
2022-12-08 16:06:26.625381666,75664
2022-12-08 16:06:26.727720041,86290
2022-12-08 16:06:26.830577155,124485
2022-12-08 16:06:26.933485066,143083
2022-12-08 16:06:27.035934881,143372
2022-12-08 16:06:27.138328200,147687
2022-12-08 16:06:27.241035397,156849
2022-12-08 16:06:27.343492368,153783
2022-12-08 16:06:27.446003720,151373
2022-12-08 16:06:27.547810874,157582
2022-12-08 16:06:27.649651016,155787
2022-12-08 16:06:27.751442399,151962
2022-12-08 16:06:27.853256280,158465
2022-12-08 16:06:27.955029839,157463
2022-12-08 16:06:28.056886525,151136
2022-12-08 16:06:28.158684332,158263
2022-12-08 16:06:28.260527147,157697
2022-12-08 16:06:28.362311214,148069
2022-12-08 16:06:28.464098027,157697
2022-12-08 16:06:28.565929190,158789
2022-12-08 16:06:28.667720656,149835
2022-12-08 16:06:28.769567933,153082
2022-12-08 16:06:28.871320179,159347
2022-12-08 16:06:28.973198923,150217
2022-12-08 16:06:29.074950306,153671
2022-12-08 16:06:29.176783221,159966
2022-12-08 16:06:29.278588551,153074
2022-12-08 16:06:29.380445604,153082
2022-12-08 16:06:29.482215679,159347
2022-12-08 16:06:29.584008084,157517
2022-12-08 16:06:29.685883519,153728
2022-12-08 16:06:29.788216410,157700
