Timestamp,Power
2022-12-10 04:54:48.246218822,132829
2022-12-10 04:54:48.349135130,133237
2022-12-10 04:54:48.452088521,132649
2022-12-10 04:54:48.554476549,130932
2022-12-10 04:54:48.656398692,131766
2022-12-10 04:54:48.759283672,133237
2022-12-10 04:54:48.861194821,134121
2022-12-10 04:54:48.963041536,133826
2022-12-10 04:54:49.065406125,131931
2022-12-10 04:54:49.167279713,132997
2022-12-10 04:54:49.269773236,133237
2022-12-10 04:54:49.371664474,134835
2022-12-10 04:54:49.473660125,133477
2022-12-10 04:54:49.576638443,131175
2022-12-10 04:54:49.679647793,132649
2022-12-10 04:54:49.782088648,133876
2022-12-10 04:54:49.884057989,133951
2022-12-10 04:54:49.985849606,133234
2022-12-10 04:54:50.087749299,131521
2022-12-10 04:54:50.190599128,132405
2022-12-10 04:54:50.292516306,135055
2022-12-10 04:54:50.394978411,134466
2022-12-10 04:54:50.496920848,132944
2022-12-10 04:54:50.599078494,132060
2022-12-10 04:54:50.701623662,133237
2022-12-10 04:54:50.803460608,133826
2022-12-10 04:54:50.905226958,133532
2022-12-10 04:54:51.007058538,134710
2022-12-10 04:54:51.109079600,132649
2022-12-10 04:54:51.210959488,133582
2022-12-10 04:54:51.313378438,125537
2022-12-10 04:54:51.415767445,90308
2022-12-10 04:54:51.518225995,76528
2022-12-10 04:54:51.625329967,72838
2022-12-10 04:54:51.727830820,85227
2022-12-10 04:54:51.829651472,87747
2022-12-10 04:54:51.931467444,85234
2022-12-10 04:54:52.033265761,96036
2022-12-10 04:54:52.135268166,98077
2022-12-10 04:54:52.238324765,103347
2022-12-10 04:54:52.341240026,112549
2022-12-10 04:54:52.443765371,115875
2022-12-10 04:54:52.545626896,128503
2022-12-10 04:54:52.647501607,125270
2022-12-10 04:54:52.749370816,125824
2022-12-10 04:54:52.851163311,122961
2022-12-10 04:54:52.953064587,120140
2022-12-10 04:54:53.054909509,121450
2022-12-10 04:54:53.157402073,116327
2022-12-10 04:54:53.259280073,125641
2022-12-10 04:54:53.361665292,120284
2022-12-10 04:54:53.463507581,125737
2022-12-10 04:54:53.565912800,123182
2022-12-10 04:54:53.667837196,123607
2022-12-10 04:54:53.769673842,122298
2022-12-10 04:54:53.871790484,118759
2022-12-10 04:54:53.973779177,122822
2022-12-10 04:54:54.076520802,115792
2022-12-10 04:54:54.178391152,122951
2022-12-10 04:54:54.280514600,122888
2022-12-10 04:54:54.382601917,123656
2022-12-10 04:54:54.484532255,122298
2022-12-10 04:54:54.586363119,119443
2022-12-10 04:54:54.688257592,122870
2022-12-10 04:54:54.790514528,108052
2022-12-10 04:54:54.893021519,81571
2022-12-10 04:54:54.995949020,82453
2022-12-10 04:54:55.098714159,107691
2022-12-10 04:54:55.201123369,117255
2022-12-10 04:54:55.304130992,124962
2022-12-10 04:54:55.406992162,127321
2022-12-10 04:54:55.509942684,125502
2022-12-10 04:54:55.612781975,125436
2022-12-10 04:54:55.715170574,121720
2022-12-10 04:54:55.817704119,123962
2022-12-10 04:54:55.920687900,123374
2022-12-10 04:54:56.023705484,124552
2022-12-10 04:54:56.126631040,123912
2022-12-10 04:54:56.229094098,122900
2022-12-10 04:54:56.331494923,122310
2022-12-10 04:54:56.438429147,123962
2022-12-10 04:54:56.541398765,123915
2022-12-10 04:54:56.644321589,124552
2022-12-10 04:54:56.746539736,124552
2022-12-10 04:54:56.849112781,124373
2022-12-10 04:54:56.952000325,122310
2022-12-10 04:54:57.054872232,123374
2022-12-10 04:54:57.157921064,123783
2022-12-10 04:54:57.260829261,124552
2022-12-10 04:54:57.363335642,125092
2022-12-10 04:54:57.465909165,123374
2022-12-10 04:54:57.568427554,122900
2022-12-10 04:54:57.670956102,122015
2022-12-10 04:54:57.772867902,120587
2022-12-10 04:54:57.874741603,121061
2022-12-10 04:54:57.977220116,123374
2022-12-10 04:54:58.079785942,123620
2022-12-10 04:54:58.182891286,125731
2022-12-10 04:54:58.284881590,123537
2022-12-10 04:54:58.386992560,121770
2022-12-10 04:54:58.489179792,120342
2022-12-10 04:54:58.591057346,120836
2022-12-10 04:54:58.693208432,101455
2022-12-10 04:54:58.795037336,79257
2022-12-10 04:54:58.897713396,70297
2022-12-10 04:54:59.000284441,66730
2022-12-10 04:54:59.103220601,77613
2022-12-10 04:54:59.206183560,85971
2022-12-10 04:54:59.308727295,90280
2022-12-10 04:54:59.410617983,91660
2022-12-10 04:54:59.512515223,98259
2022-12-10 04:54:59.614325098,99483
2022-12-10 04:54:59.716275544,102488
2022-12-10 04:54:59.818087812,98743
2022-12-10 04:54:59.919952079,90956
2022-12-10 04:55:00.021818098,98676
2022-12-10 04:55:00.124267123,97116
2022-12-10 04:55:00.227324789,94664
2022-12-10 04:55:00.330192207,99502
2022-12-10 04:55:00.432166883,99337
2022-12-10 04:55:00.535079014,99005
2022-12-10 04:55:00.637976066,99399
2022-12-10 04:55:00.740918677,96836
2022-12-10 04:55:00.843832206,102190
2022-12-10 04:55:00.946428384,100029
2022-12-10 04:55:01.052055413,100649
2022-12-10 04:55:01.156564534,101176
2022-12-10 04:55:01.258314165,100450
2022-12-10 04:55:01.360164688,99322
2022-12-10 04:55:01.462149701,96232
2022-12-10 04:55:01.563953481,101304
2022-12-10 04:55:01.665794715,99734
2022-12-10 04:55:01.768303904,96246
2022-12-10 04:55:01.870165169,100387
2022-12-10 04:55:01.972012250,100325
2022-12-10 04:55:02.073888868,99417
2022-12-10 04:55:02.175812934,99617
2022-12-10 04:55:02.278211344,96480
2022-12-10 04:55:02.381083235,100272
2022-12-10 04:55:02.483051123,100621
2022-12-10 04:55:02.584951855,86753
2022-12-10 04:55:02.687862870,69737
2022-12-10 04:55:02.790340589,69496
2022-12-10 04:55:02.892284596,87386
2022-12-10 04:55:02.994754393,95273
2022-12-10 04:55:03.096637390,100690
2022-12-10 04:55:03.198440243,103058
2022-12-10 04:55:03.301091833,102350
2022-12-10 04:55:03.403979861,100395
2022-12-10 04:55:03.506629161,98620
2022-12-10 04:55:03.608603634,97764
2022-12-10 04:55:03.711149450,98324
2022-12-10 04:55:03.813223805,98620
2022-12-10 04:55:03.915852469,98651
2022-12-10 04:55:04.019103639,97436
2022-12-10 04:55:04.122076056,98651
2022-12-10 04:55:04.224953584,99804
2022-12-10 04:55:04.327329105,100986
2022-12-10 04:55:04.430247862,100099
2022-12-10 04:55:04.533174044,99294
2022-12-10 04:55:04.636218656,98060
2022-12-10 04:55:04.739144258,96697
2022-12-10 04:55:04.842112953,98948
2022-12-10 04:55:04.944524712,99211
2022-12-10 04:55:05.046919148,99211
2022-12-10 04:55:05.149927154,98110
2022-12-10 04:55:05.252851612,97783
2022-12-10 04:55:05.355977976,99294
2022-12-10 04:55:05.463433555,98324
2022-12-10 04:55:05.566265769,97733
2022-12-10 04:55:05.668211095,98670
2022-12-10 04:55:05.770186367,98916
2022-12-10 04:55:05.872055582,98916
2022-12-10 04:55:05.973920506,98620
2022-12-10 04:55:06.075963708,97733
2022-12-10 04:55:06.178826866,96600
2022-12-10 04:55:06.281438042,97764
2022-12-10 04:55:06.383914916,99804
2022-12-10 04:55:06.486442422,101166
2022-12-10 04:55:06.588412615,99804
2022-12-10 04:55:06.690322050,98620
2022-12-10 04:55:06.792340007,98405
2022-12-10 04:55:06.894214188,97555
2022-12-10 04:55:06.996149456,99211
